909,1775998427814,sheep,0.755,"[16,43,142,140]"
910,1775998427815,cat,0.573,"[16,42,143,140]"
911,1775998427817,cat,0.546,"[16,52,135,140]"
916,1775998428105,cat,0.718,"[17,37,142,148]"
917,1775998428113,cat,0.747,"[17,39,144,147]"
934,1775998428781,sheep,0.580,"[47,5,177,151]"
1032,1775998432849,sheep,0.629,"[70,21,152,158]"
1044,1775998433359,cat,0.521,"[71,23,155,158]"
1072,1775998434554,cat,0.797,"[123,17,223,176]"
1073,1775998434563,cat,0.635,"[132,21,225,176]"
1077,1775998434732,bear,0.553,"[154,20,246,177]"
1081,1775998435005,bear,0.699,"[160,10,269,178]"
1082,1775998435005,bear,0.577,"[172,12,271,177]"
1083,1775998435013,bear,0.625,"[172,12,274,177]"
1093,1775998435395,bear,0.705,"[202,17,308,178]"
1142,1775998437440,bird,0.882,"[50,82,249,178]"
1174,1775998438786,person,0.536,"[73,53,258,177]"
1179,1775998438973,person,0.631,"[73,53,257,177]"
1206,1775998495953,sheep,0.628,"[0,139,28,161]"
1221,1775998496602,sheep,0.568,"[0,136,28,160]"
1320,1775998500703,teddy bear,0.562,"[111,34,175,152]"
1333,1775998501245,bird,0.698,"[115,35,187,152]"
